"Taxon Name", "Synonym", "Name According to"
"Dichanthelium acuminatum subsp. spretum", "Dichanthelium spretum (Schultes) Freckmann", "Thomas, J.R. 2015. Revision of Dichanthelium sect. Lanuginosa (Poaceae). Phytoneuron 2015-10: 1-58"
"Dichanthelium latifolium", "Dichanthelium latifolium (Linnaeus) Harvill", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Diplazium pycnocarpon", "Homalosorus pycnocarpos (Sprengel) Pichi Sermolli", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Draba reptans", "Tomostima reptans (Lamarck) Al-Shehbaz, M. Koch & Jordon-Thaden", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Duchesnea indica", "Potentilla indica (Andrews) Th. Wolf var. indica", ""
"Duchesnea indica var. indica", "Potentilla indica (Andrews) Th. Wolf var. indica", ""
"Elymus lanceolatus subsp. riparius", "Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Elymus riparius", "Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Elymus virginicus var. jejunus", "Elymus virginicus Linnaeus var. virginicus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Eragrostis", "Eragrostis minor Host", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Euphrasia arctica", "Euphrasia wettsteinii G.L. Gusarova", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York."
"Fallopia japonica", "Reynoutria japonica Houttuyn var. japonica", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
