"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Alopecurus", "yes", "1", "1", "Alopecurus Linnaeus", "Linnaeus", "Alopecurus", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae"
"Alopecurus aequalis", "yes", "1", "1", "Alopecurus aequalis Sobolewski", "Sobolewski", "Alopecurus aequalis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alopecurus aequalis var. aequalis", "yes", "1", "1", "Alopecurus aequalis Sobolewski var. aequalis", "Sobolewski", "Alopecurus aequalis var. aequalis", "variety", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus;Alopecurus aequalis"
"Alopecurus arundinaceus", "yes", "1", "1", "Alopecurus arundinaceus Poiret", "Poiret", "Alopecurus arundinaceus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alopecurus carolinianus", "yes", "1", "1", "Alopecurus carolinianus Walter", "Walter", "Alopecurus carolinianus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alopecurus geniculatus", "yes", "1", "1", "Alopecurus geniculatus Linnaeus", "Linnaeus", "Alopecurus geniculatus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alopecurus magellanicus", "yes", "1", "1", "Alopecurus magellanicus Lamarck", "Lamarck", "Alopecurus magellanicus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alopecurus pratensis", "yes", "1", "1", "Alopecurus pratensis Linnaeus", "Linnaeus", "Alopecurus pratensis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Alopecurinae;Alopecurus"
"Alyssum alyssoides", "yes", "1", "1", "Alyssum alyssoides (Linnaeus) Linnaeus", "(Linnaeus) Linnaeus", "Alyssum alyssoides", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Alysseae;Alyssum"
"Alyssum desertorum", "yes", "1", "1", "Alyssum turkestanicum Regel & Schmalhausen", "Stapf", "Alyssum desertorum", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "synonym", "NULL"
"Alyssum murale", "yes", "1", "1", "Odontarrhena muralis (Waldstein & Kitaibel) Endlicher", "Waldstein & Kitaibel", "Alyssum murale", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "synonym", "NULL"
"Amaranthus albus", "yes", "1", "1", "Amaranthus albus Linnaeus", "Linnaeus", "Amaranthus albus", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Amaranthaceae;Amaranthoideae;Amarantheae;Amaranthus;Amaranthus subg. Albersia"
"Amaranthus blitoides", "yes", "1", "1", "Amaranthus blitoides S. Watson", "S. Watson", "Amaranthus blitoides", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Amaranthaceae;Amaranthoideae;Amarantheae;Amaranthus;Amaranthus subg. Albersia"
"Amaranthus californicus", "yes", "1", "1", "Amaranthus californicus (Moquin-Tandon) S. Watson", "(Moquin-Tandon) S. Watson", "Amaranthus californicus", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Amaranthaceae;Amaranthoideae;Amarantheae;Amaranthus;Amaranthus subg. Albersia"
"Amaranthus powellii", "yes", "1", "1", "Amaranthus powellii S. Watson", "S. Watson", "Amaranthus powellii", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Amaranthaceae;Amaranthoideae;Amarantheae;Amaranthus;Amaranthus subg. Amaranthus"
"Amaranthus retroflexus", "yes", "1", "1", "Amaranthus retroflexus Linnaeus", "Linnaeus", "Amaranthus retroflexus", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Amaranthaceae;Amaranthoideae;Amarantheae;Amaranthus;Amaranthus subg. Amaranthus"
"Amblyodon dealbatus", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Amblystegium serpens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Ambrosia acanthicarpa", "yes", "1", "1", "Ambrosia acanthicarpa Hooker", "Hooker", "Ambrosia acanthicarpa", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Ambrosia"
"Ambrosia artemisiifolia", "yes", "1", "1", "Ambrosia artemisiifolia Linnaeus", "Linnaeus", "Ambrosia artemisiifolia", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Ambrosia"
"Ambrosia psilostachya", "yes", "1", "1", "Ambrosia psilostachya de Candolle", "de Candolle", "Ambrosia psilostachya", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Ambrosia"
"Ambrosia trifida", "yes", "1", "1", "Ambrosia trifida Linnaeus", "Linnaeus", "Ambrosia trifida", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Ambrosia"
"Amelanchier alnifolia", "yes", "1", "1", "Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer", "(Nuttall) Nuttall ex M. Roemer", "Amelanchier alnifolia", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Amygdaloideae;Maleae;Amelanchier"
"Amelanchier alnifolia var. alnifolia", "yes", "1", "1", "Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer var. alnifolia", "(Nuttall) Nuttall ex M. Roemer", "Amelanchier alnifolia var. alnifolia", "variety", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Amygdaloideae;Maleae;Amelanchier;Amelanchier alnifolia"
"Amerorchis rotundifolia", "yes", "1", "1", "Galearis rotundifolia (Banks ex Pursh) R.M. Bateman", "(Banks ex Pursh) Hultén", "Amerorchis rotundifolia", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "synonym", "NULL"
"Amphidium lapponicum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Amphiscirpus nevadensis", "yes", "1", "1", "Amphiscirpus nevadensis (S. Watson) Oteng-Yeboah", "(S. Watson) Oteng-Yeboah", "Amphiscirpus nevadensis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Scirpeae;Amphiscirpus"
"Anagallis minima", "yes", "1", "1", "Lysimachia minima (Linnaeus) U. Manns & Anderberg", "(Linnaeus) E.H.L. Krause", "Anagallis minima", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "synonym", "NULL"
"Anaphalis margaritacea", "yes", "1", "1", "Anaphalis margaritacea (Linnaeus) Bentham & Hooker f.", "(Linnaeus) Bentham & Hooker f.", "Anaphalis margaritacea", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Gnaphalieae;Anaphalis"
"Andreaea rupestris", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Andromeda polifolia", "yes", "1", "1", "Andromeda polifolia Linnaeus", "Linnaeus", "Andromeda polifolia", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Ericaceae;Vaccinioideae;Andromedeae;Andromeda"
"Andromeda polifolia var. polifolia", "yes", "1", "1", "Andromeda polifolia Linnaeus var. polifolia", "Linnaeus", "Andromeda polifolia var. polifolia", "variety", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Ericaceae;Vaccinioideae;Andromedeae;Andromeda;Andromeda polifolia"
"Androsace chamaejasme", "yes", "1", "1", "Androsace chamaejasme Wulfén ex Host", "Wulfén ex Host", "Androsace chamaejasme", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Primulaceae;Primuloideae;Androsaceae;Androsace"
"Androsace chamaejasme subsp. lehmanniana", "yes", "1", "1", "Androsace chamaejasme subsp. lehmanniana (Sprengel) Hultén", "(Sprengel) Hultén", "Androsace chamaejasme subsp. lehmanniana", "subspecies", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Primulaceae;Primuloideae;Androsaceae;Androsace;Androsace chamaejasme"
"Androsace occidentalis", "yes", "1", "1", "Androsace occidentalis Pursh", "Pursh", "Androsace occidentalis", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Primulaceae;Primuloideae;Androsaceae;Androsace"
"Androsace septentrionalis", "yes", "1", "1", "Androsace septentrionalis Linnaeus", "Linnaeus", "Androsace septentrionalis", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Primulaceae;Primuloideae;Androsaceae;Androsace"
"Anemone canadensis", "yes", "1", "1", "Anemonastrum canadense (Linnaeus) Mosyakin", "Linnaeus", "Anemone canadensis", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Anemone cylindrica", "yes", "1", "1", "Anemone cylindrica A. Gray", "A. Gray", "Anemone cylindrica", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone drummondii", "yes", "1", "1", "Anemone drummondii S. Watson", "S. Watson", "Anemone drummondii", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone drummondii var. lithophila", "yes", "1", "1", "Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock", "(Rydberg) C.L. Hitchcock", "Anemone drummondii var. lithophila", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone;Anemone drummondii"
"Anemone multifida", "yes", "1", "1", "Anemone multifida Poiret", "Poiret", "Anemone multifida", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone multifida var. multifida", "yes", "1", "1", "Anemone multifida Poiret var. multifida", "Poiret", "Anemone multifida var. multifida", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone;Anemone multifida"
"Anemone multifida var. saxicola", "yes", "1", "1", "Anemone multifida var. saxicola B. Boivin", "B. Boivin", "Anemone multifida var. saxicola", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone;Anemone multifida"
"Anemone occidentalis", "yes", "1", "1", "Pulsatilla occidentalis (S. Watson) Freyn", "S. Watson", "Anemone occidentalis", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Anemone parviflora", "yes", "1", "1", "Anemone parviflora Michaux", "Michaux", "Anemone parviflora", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone patens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Anemone patens var. multifida", "yes", "1", "1", "Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl", "Pritzel", "Anemone patens var. multifida", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Anemone quinquefolia", "yes", "1", "1", "Anemone quinquefolia Linnaeus", "Linnaeus", "Anemone quinquefolia", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone quinquefolia var. quinquefolia", "yes", "1", "1", "Anemone quinquefolia Linnaeus var. quinquefolia", "Linnaeus", "Anemone quinquefolia var. quinquefolia", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone;Anemone quinquefolia"
"Anemone richardsonii", "yes", "1", "1", "Anemonastrum richardsonii (Hooker) Mosyakin", "Hooker", "Anemone richardsonii", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Anemone virginiana", "yes", "1", "1", "Anemone virginiana Linnaeus", "Linnaeus", "Anemone virginiana", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone"
"Anemone virginiana var. cylindroidea", "yes", "1", "1", "Anemone virginiana var. cylindroidea B. Boivin", "B. Boivin", "Anemone virginiana var. cylindroidea", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Anemoneae;Anemone;Anemone virginiana"
"Anomobryum julaceum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Anomodon minor", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Anomodon rostratus", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Antennaria alpina", "yes", "1", "1", "Antennaria alpina (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Antennaria alpina", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Gnaphalieae;Antennaria"
"Antennaria anaphaloides", "yes", "1", "1", "Antennaria anaphaloides Rydberg", "Rydberg", "Antennaria anaphaloides", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Gnaphalieae;Antennaria"
"Antennaria aromatica", "yes", "1", "1", "Antennaria aromatica Evert", "Evert", "Antennaria aromatica", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Gnaphalieae;Antennaria"
