"","Volume","Taxon name"
"Cynodontium polycarpon","Volume 27","Cynodontium polycarpon"
"Cypripedium acaule","Volume 26","Cypripedium acaule"
"Cypripedium parviflorum var. makasin","Volume 26","Cypripedium parviflorum var. makasin"
"Cypripedium reginae","Volume 26","Cypripedium reginae"
"Cystopteris fragilis","Volume 2","Cystopteris fragilis"
"Dactylis","Volume 24","Dactylis"
"Dactylis glomerata","Volume 24","Dactylis glomerata"
"Danthonia","Volume 25","Danthonia"
"Danthonia compressa","Volume 25","Danthonia compressa"
"Danthonia spicata","Volume 25","Danthonia spicata"
"Daphne mezereum","Volume 6","Daphne mezereum"
"Dennstaedtia punctilobula","Volume 2","Dennstaedtia punctilobula"
"Deparia acrostichoides","Volume 2","Deparia acrostichoides"
"Deschampsia","Volume 24","Deschampsia"
"Deschampsia cespitosa","Volume 24","Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis","Volume 24","Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa","Volume 24","Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis","Volume 24","Deschampsia cespitosa subsp. holciformis"
"Deschampsia flexuosa","Volume 24","Deschampsia flexuosa"
"Deschampsia mackenzieana","Volume 24","Deschampsia mackenzieana"
"Deschampsia sukatschewii","Volume 24","Deschampsia sukatschewii"
"Descurainia sophia","Volume 7","Descurainia sophia"
"Dianthus armeria subsp. armeria","Volume 5","Dianthus armeria subsp. armeria"
"Dianthus deltoides subsp. deltoides","Volume 5","Dianthus deltoides subsp. deltoides"
"Dicentra cucullaria","Volume 3","Dicentra cucullaria"
"Dichanthelium","Volume 25","Dichanthelium"
"Dichanthelium acuminatum","Volume 25","Dichanthelium acuminatum"
"Dichanthelium acuminatum subsp. acuminatum","Volume 25","Dichanthelium acuminatum subsp. acuminatum"
"Dichanthelium acuminatum subsp. columbianum","Volume 25","Dichanthelium acuminatum subsp. columbianum"
"Dichanthelium acuminatum subsp. fasciculatum","Volume 25","Dichanthelium acuminatum subsp. fasciculatum"
"Dichanthelium acuminatum subsp. implicatum","Volume 25","Dichanthelium acuminatum subsp. implicatum"
"Dichanthelium acuminatum subsp. leucothrix","Volume 25","Dichanthelium acuminatum subsp. leucothrix"
"Dichanthelium acuminatum subsp. lindheimeri","Volume 25","Dichanthelium acuminatum subsp. lindheimeri"
"Dichanthelium acuminatum subsp. longiligulatum","Volume 25","Dichanthelium acuminatum subsp. longiligulatum"
"Dichanthelium acuminatum subsp. sericeum","Volume 25","Dichanthelium acuminatum subsp. sericeum"
"Dichanthelium acuminatum subsp. spretum","Volume 25","Dichanthelium acuminatum subsp. spretum"
"Dichanthelium acuminatum subsp. thermale","Volume 25","Dichanthelium acuminatum subsp. thermale"
"Dichanthelium boreale","Volume 25","Dichanthelium boreale"
"Dichanthelium chamaelonche","Volume 25","Dichanthelium chamaelonche"
"Dichanthelium chamaelonche subsp. breve","Volume 25","Dichanthelium chamaelonche subsp. breve"
"Dichanthelium chamaelonche subsp. chamaelonche","Volume 25","Dichanthelium chamaelonche subsp. chamaelonche"
"Dichanthelium depauperatum","Volume 25","Dichanthelium depauperatum"
"Dichanthelium ensifolium","Volume 25","Dichanthelium ensifolium"
"Dichanthelium ensifolium subsp. curtifolium","Volume 25","Dichanthelium ensifolium subsp. curtifolium"
"Dichanthelium ensifolium subsp. ensifolium","Volume 25","Dichanthelium ensifolium subsp. ensifolium"
"Dichanthelium nudicaule","Volume 25","Dichanthelium nudicaule"
"Dichanthelium perlongum","Volume 25","Dichanthelium perlongum"
"Dichanthelium polyanthes","Volume 25","Dichanthelium polyanthes"
"Dichanthelium portoricense","Volume 25","Dichanthelium portoricense"
"Dichanthelium portoricense subsp. patulum","Volume 25","Dichanthelium portoricense subsp. patulum"
"Dichanthelium portoricense subsp. portoricense","Volume 25","Dichanthelium portoricense subsp. portoricense"
"Dichanthelium sect. Angustifolia","Volume 25","Dichanthelium sect. Angustifolia"
