"x"
"Panicum miliaceum"
"Panicum miliaceum subsp. miliaceum"
"Panicum miliaceum subsp. ruderale"
"Panicum plenum"
"Panicum sect. Agrostoidea"
"Panicum sect. Antidotalia"
"Panicum sect. Bulbosa"
"Panicum sect. Dichotomiflora"
"Panicum sect. Hemitonia"
"Panicum sect. Monticola"
"Panicum sect. Obtusa"
"Panicum sect. Panicum"
"Panicum sect. Phanopyrum"
"Panicum sect. Repentia"
"Panicum sect. Tenera"
"Panicum sect. Urvilleana"
"Panicum sect. Verrucosa"
"Panicum subg. Agrostoidea"
"Panicum subg. Panicum"
"Panicum subg. Phanopyrum"
"Paraleucobryum longifolium"
"Parnassia parviflora"
"Parthenocissus quinquefolia"
"Persicaria amphibia"
"Persicaria arifolia"
"Persicaria hydropiper"
"Persicaria lapathifolia"
"Persicaria maculosa"
"Persicaria punctata"
"Persicaria sagittata"
"Petasites frigidus"
"Petasites frigidus var. palmatus"
"Phalaris"
"Phalaris arundinacea"
"Phalaris canariensis"
"Phegopteris connectilis"
"Phleum"
"Phleum phleoides"
"Phleum pratense"
"Phragmites"
"Phragmites australis"
"Picea glauca"
"Picea mariana"
"Picea rubens"
"Pilea pumila"
"Pinus banksiana"
"Pinus resinosa"
"Pinus strobus"
"Plagiomnium ciliare"
"Plagiomnium cuspidatum"
"Plagiomnium medium"
"Plagiomnium rostratum"
"Plagiopus oederianus"
"Plagiothecium cavifolium"
"Plagiothecium denticulatum"
"Plagiothecium laetum"
"Plantago lanceolata"
"Plantago major"
"Plantago maritima"
"Platanthera aquilonis"
"Platanthera blephariglottis var. blephariglottis"
"Platanthera clavellata"
"Platanthera dilatata var. dilatata"
"Platanthera grandiflora"
"Platanthera hookeri"
"Platanthera huronensis"
"Platanthera lacera"
"Platanthera macrophylla"
"Platanthera obtusata"
"Platanthera orbiculata"
"Platanthera psycodes"
"Platydictya subtilis"
"Platygyrium repens"
"Pleurozium schreberi"
"Poa"
"Poa alsodes"
"Poa annua"
"Poa compressa"
"Poa diaboli"
"Poa interior"
"Poa laxa"
"Poa laxa subsp. banffiana"
"Poa laxa subsp. fernaldiana"
"Poa palustris"
"Poa pratensis"
"Poa pratensis subsp. agassizensis"
"Poa pratensis subsp. alpigena"
"Poa pratensis subsp. angustifolia"
"Poa pratensis subsp. colpodea"
"Poa pratensis subsp. irrigata"
"Poa pratensis subsp. pratensis"
"Poa saltuensis"
"Poa saltuensis subsp. languida"
"Poa saltuensis subsp. saltuensis"
"Poa sect. Abbreviatae"
"Poa sect. Alpinae"
"Poa sect. Arctopoa"
"Poa sect. Arenariae"
"Poa sect. Dioicopoa"
"Poa sect. Homalopoa"
"Poa sect. Madropoa"
