"x"
"Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis"
"Elymus violaceus"
"Elymus virginicus"
"Elymus virginicus var. halophilus"
"Elymus virginicus var. intermedius"
"Elymus virginicus var. jejunus"
"Elymus virginicus var. virginicus"
"Elymus ×pinalenoensis"
"Empetrum atropurpureum"
"Empetrum eamesii"
"Empetrum nigrum"
"Encalypta ciliata"
"Encalypta procera"
"Entodon cladorrhizans"
"Ephemerum cohaerens"
"Ephemerum serratum"
"Epifagus virginiana"
"Epigaea repens"
"Equisetum arvense"
"Equisetum fluviatile"
"Equisetum hyemale"
"Equisetum hyemale subsp. affine"
"Equisetum palustre"
"Equisetum pratense"
"Equisetum scirpoides"
"Equisetum sylvaticum"
"Equisetum ×litorale"
"Eragrostis"
"Eragrostis cilianensis"
"Eragrostis minor"
"Eragrostis obtusiflora"
"Eragrostis pectinacea"
"Eragrostis pectinacea var. pectinacea"
"Eragrostis pilosa"
"Eragrostis pilosa var. perplexa"
"Eragrostis pilosa var. pilosa"
"Eragrostis reptans"
"Eragrostis setifolia"
"Erechtites hieraciifolius"
"Erechtites hieraciifolius var. hieraciifolius"
"Erica tetralix"
"Erigeron annuus"
"Erigeron hyssopifolius"
"Erigeron philadelphicus"
"Erigeron philadelphicus var. philadelphicus"
"Erigeron strigosus"
"Erigeron strigosus var. septentrionalis"
"Erigeron strigosus var. strigosus"
"Eriocaulon aquaticum"
"Eriophorum angustifolium"
"Eriophorum angustifolium subsp. angustifolium"
"Eriophorum chamissonis"
"Eriophorum gracile"
"Eriophorum tenellum"
"Eriophorum vaginatum"
"Eriophorum virginicum"
"Eriophorum viridicarinatum"
"Erucastrum gallicum"
"Erysimum cheiranthoides"
"Erysimum hieraciifolium"
"Erysimum inconspicuum"
"Erythranthe moschata"
"Erythronium americanum subsp. americanum"
"Eupatorium perfoliatum"
"Euphorbia cyparissias"
"Euphorbia exigua"
"Euphorbia glyptosperma"
"Euphorbia helioscopia"
"Euphorbia maculata"
"Euphorbia peplus"
"Euphorbia polygonifolia"
"Euphorbia vermiculata"
"Euphorbia virgata"
"Euphrasia arctica"
"Euphrasia arctica subsp. borealis"
"Euphrasia disjuncta"
"Euphrasia farlowii"
"Euphrasia micrantha"
"Euphrasia nemorosa"
"Euphrasia randii"
"Euphrasia stricta"
"Euphrasia stricta var. brevipila"
"Euphrasia stricta var. stricta"
"Euphrasia suborbicularis"
"Euphrasia tetraquetra"
"Euphrasia vinacea"
"Eurhynchiastrum pulchellum var. pulchellum"
"Eurybia macrophylla"
"Eurybia radula"
"Euthamia caroliniana"
"Euthamia graminifolia"
"Eutrochium dubium"
"Eutrochium maculatum"
"Eutrochium maculatum var. foliosum"
"Eutrochium maculatum var. maculatum"
"Fagopyrum esculentum"
"Fagopyrum tataricum"
"Fagus grandifolia"
"Fallopia cilinodis"
"Fallopia convolvulus"
"Fallopia japonica"
"Fallopia japonica var. japonica"
"Fallopia sachalinensis"
"Fallopia scandens"
"Fallopia ×bohemica"
"Festuca"
"Festuca amethystina"
"Festuca brachyphylla"
"Festuca brachyphylla subsp. brachyphylla"
"Festuca brachyphylla subsp. breviculmis"
"Festuca brachyphylla subsp. coloradensis"
"Festuca filiformis"
"Festuca frederikseniae"
"Festuca glauca"
"Festuca prolifera"
"Festuca roemeri"
"Festuca rubra"
"Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola"
"Festuca sect. Breviaristatae"
"Festuca sect. Elmera"
"Festuca sect. Festuca"
"Festuca sect. Subulatae"
"Festuca sect. Subuliflorae"
"Festuca sect. Texanae"
"Festuca subg. Festuca"
"Festuca subg. Montanae"
"Festuca subg. Obtusae"
"Festuca subg. Subulatae"
"Festuca subverticillata"
"Festuca trachyphylla"
"Filipendula rubra"
"Filipendula ulmaria"
"Filipendula vulgaris"
"Fissidens adianthoides"
"Fissidens bryoides"
"Fissidens bushii"
"Fissidens dubius"
"Fissidens osmundioides"
"Fissidens taxifolius"
"Floerkea proserpinacoides"
"Fontinalis antipyretica"
"Fontinalis dalecarlica"
"Fontinalis hypnoides"
"Fontinalis novae-angliae"
"Fontinalis sphagnifolia"
"Fontinalis sullivantii"
"Fragaria vesca"
