"x"
"Torreyochloa pallida var. fernaldii"
"Tortula hoppeana"
"Tortula leucostoma"
"Trematodon ambiguus"
"Triadenum fraseri"
"Triantha glutinosa"
"Trichophorum alpinum"
"Trichophorum cespitosum"
"Trientalis borealis"
"Triglochin maritima"
"Triglochin palustris"
"Tripleurospermum inodorum"
"Trisetum"
"Trisetum cernuum"
"Trisetum spicatum"
"Ulota curvifolia"
"Ulota phyllantha"
"Vaccinium angustifolium"
"Vaccinium boreale"
"Vaccinium cespitosum"
"Vaccinium oxycoccos"
"Vaccinium vitis-idaea"
"Vahlodea"
"Vahlodea atropurpurea"
"Veratrum viride var. viride"
"Veronica scutellata"
"Veronica serpyllifolia"
"Veronica wormskjoldii subsp. wormskjoldii"
"Viola adunca var. adunca"
"Viola arvensis"
"Viola blanda"
"Viola labradorica"
"Viola macloskeyi"
"Viola palustris"
"Viola renifolia"
"Viola selkirkii"
"Warnstorfia fluitans"
"Warnstorfia pseudostraminea"
"Weissia controversa"
