"Taxon Name", "Match", "Number of Matches", "Matches"
"Anemone Canadensis", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Cylindrica", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Drummondii", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Drummondii Var. Lithophila", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Multifida", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Multifida Var. Multifida", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Multifida Var. Saxicola", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Occidentalis", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Parviflora", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Patens", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Patens Var. Multifida", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Quinquefolia", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Quinquefolia Var. Quinquefolia", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Richardsonii", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Virginiana", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anemone Virginiana Var. Cylindroidea", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anomobryum Julaceum", "no", "0", "NA"
"Anomodon Minor", "no", "0", "NA"
"Anomodon Rostratus", "no", "0", "NA"
"Antennaria Alpina", "yes", "1", "Antennaria Gaertner"
"Antennaria Anaphaloides", "yes", "1", "Antennaria Gaertner"
"Antennaria Aromatica", "yes", "1", "Antennaria Gaertner"
"Antennaria Dimorpha", "yes", "1", "Antennaria Gaertner"
"Antennaria Howellii", "yes", "1", "Antennaria Gaertner"
"Antennaria Howellii Subsp. Howellii", "yes", "1", "Antennaria Gaertner"
"Antennaria Howellii Subsp. Neodioica", "yes", "1", "Antennaria Gaertner"
"Antennaria Howellii Subsp. Petaloidea", "yes", "1", "Antennaria Gaertner"
"Antennaria Lanata", "yes", "1", "Antennaria Gaertner"
"Antennaria Luzuloides", "yes", "1", "Antennaria Gaertner"
"Antennaria Luzuloides Subsp. Luzuloides", "yes", "1", "Antennaria Gaertner"
"Antennaria Media", "yes", "1", "Antennaria Gaertner"
"Antennaria Microphylla", "yes", "1", "Antennaria Gaertner"
"Antennaria Monocephala", "yes", "1", "Antennaria Gaertner"
"Antennaria Monocephala Subsp. Angustata", "yes", "1", "Antennaria Gaertner"
"Antennaria Neglecta", "yes", "1", "Antennaria Gaertner"
"Antennaria Parvifolia", "yes", "1", "Antennaria Gaertner"
"Antennaria Pulcherrima", "yes", "1", "Antennaria Gaertner"
"Antennaria Pulcherrima Subsp. Pulcherrima", "yes", "1", "Antennaria Gaertner"
"Antennaria Racemosa", "yes", "1", "Antennaria Gaertner"
"Antennaria Rosea", "yes", "1", "Antennaria Gaertner"
"Antennaria Rosea Subsp. Arida", "yes", "1", "Antennaria Gaertner"
"Antennaria Rosea Subsp. Confinis", "yes", "1", "Antennaria Gaertner"
"Antennaria Rosea Subsp. Pulvinata", "yes", "1", "Antennaria Gaertner"
"Antennaria Rosea Subsp. Rosea", "yes", "1", "Antennaria Gaertner"
"Antennaria Umbrinella", "yes", "1", "Antennaria Gaertner"
"Anthemis Cotula", "yes", "3", "Anthemis Linnaeus, Anthemis arvensis Linnaeus, Cota tinctoria (Linnaeus) J. Gay"
"Anthoxanthum", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Arcticum", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Hirtum", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Monticola", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Monticola Subsp. Alpinum", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Monticola Subsp. Monticola", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Nitens", "yes", "1", "Anthoxanthum Linnaeus"
"Anthoxanthum Occidentale", "yes", "1", "Anthoxanthum Linnaeus"
"Aongstroemia Longipes", "no", "0", "NA"
"Aquilegia Brevistyla", "yes", "1", "Aquilegia Linnaeus"
"Aquilegia Flavescens", "yes", "1", "Aquilegia Linnaeus"
"Aquilegia Formosa", "yes", "1", "Aquilegia Linnaeus"
"Aquilegia Formosa Var. Formosa", "yes", "1", "Aquilegia Linnaeus"
"Aquilegia Jonesii", "yes", "1", "Aquilegia Linnaeus"
"Arabidopsis Lyrata", "yes", "1", "Arabidopsis (de Candolle) Heynhold"
"Arabidopsis Lyrata Subsp. Kamchatica", "yes", "1", "Arabidopsis (de Candolle) Heynhold"
"Arabidopsis Lyrata Subsp. Lyrata", "yes", "1", "Arabidopsis (de Candolle) Heynhold"
"Arabis Eschscholtziana", "yes", "2", "Arabis Linnaeus, Draba arabisans Michaux"
"Arabis Nuttallii", "yes", "2", "Arabis Linnaeus, Draba arabisans Michaux"
"Arabis Pycnocarpa", "yes", "2", "Arabis Linnaeus, Draba arabisans Michaux"
"Arabis Pycnocarpa Var. Pycnocarpa", "yes", "2", "Arabis Linnaeus, Draba arabisans Michaux"
"Arceuthobium Americanum", "yes", "1", "Arceuthobium Bieberstein"
"Arctagrostis", "yes", "2", "Arctagrostis Grisebach, Arctagrostis latifolia (R. Brown) Grisebach"
"Arctagrostis Latifolia", "yes", "2", "Arctagrostis Grisebach, Arctagrostis latifolia (R. Brown) Grisebach"
"Arctagrostis Latifolia Subsp. Arundinacea", "yes", "2", "Arctagrostis Grisebach, Arctagrostis latifolia (R. Brown) Grisebach"
"Arctagrostis Latifolia Subsp. Latifolia", "yes", "2", "Arctagrostis Grisebach, Arctagrostis latifolia (R. Brown) Grisebach"
"Arctium Lappa", "yes", "1", "Arctium Linnaeus"
"Arctium Minus", "yes", "1", "Arctium Linnaeus"
"Arctium Tomentosum", "yes", "1", "Arctium Linnaeus"
"Arctoa Fulvella", "no", "0", "NA"
"Arctostaphylos Uva-Ursi", "yes", "1", "Arctostaphylos Adanson"
"Arctous Alpina", "yes", "1", "Arctous (A. Gray) Niedenzu"
"Arctous Rubra", "yes", "1", "Arctous (A. Gray) Niedenzu"
"Arenaria Longipedunculata", "yes", "8", "Arenaria Linnaeus, Ammophila arenaria (Linnaeus) Link, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Festuca rubra subsp. arenaria (Osbeck) F. Areschoug, Plantago indica Linnaeus, Ammophila arenaria (Linnaeus) Link subsp. arenaria"
"Arenaria Serpyllifolia", "yes", "8", "Arenaria Linnaeus, Ammophila arenaria (Linnaeus) Link, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Festuca rubra subsp. arenaria (Osbeck) F. Areschoug, Plantago indica Linnaeus, Ammophila arenaria (Linnaeus) Link subsp. arenaria"
"Arenaria Serpyllifolia Var. Serpyllifolia", "yes", "8", "Arenaria Linnaeus, Ammophila arenaria (Linnaeus) Link, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Festuca rubra subsp. arenaria (Osbeck) F. Areschoug, Plantago indica Linnaeus, Ammophila arenaria (Linnaeus) Link subsp. arenaria"
"Aristida", "yes", "2", "Aristida Linnaeus, Aristida oligantha Michaux"
"Aristida Purpurea", "yes", "2", "Aristida Linnaeus, Aristida oligantha Michaux"
"Aristida Purpurea Var. Longiseta", "yes", "2", "Aristida Linnaeus, Aristida oligantha Michaux"
"Arnica Angustifolia", "yes", "26", "Arnica Linnaeus, Arnica angustifolia Vahl subsp. angustifolia, Arnica angustifolia subsp. tomentosa (J.M. Macoun) G.W. Douglas &  Ruyle-Douglas, Arnica angustifolia Vahl, Arnica lanceolata Nuttall, Arnica lanceolata Nuttall subsp. lanceolata, Arnica cordifolia Hooker, Arnica lonchophylla Greene, Arnica latifolia Bongard, Arnica ovata Greene, Arnica lanceolata subsp. prima (Maguire) Strother & S.J. Wolf, Arnica fulgens Pursh, Arnica chamissonis Lessing, Arnica griscomii Fernald, Arnica griscomii Fernald subsp. griscomii, Arnica nevadensis A. Gray, Arnica lessingii (Torrey & A. Gray) Greene, Arnica parryi A. Gray, Arnica rydbergii Greene, Arnica griscomii subsp. frigida (C.A. Meyer ex Iljin) S.J. Wolf, Arnica mollis Hooker, Arnica louiseana Farr, Arnica gracilis Rydberg, Arnica longifolia D.C. Eaton, Arnica sororia Greene, Senecio pseudoarnica Lessing"
"Arnica Angustifolia Subsp. Angustifolia", "yes", "26", "Arnica Linnaeus, Arnica angustifolia Vahl subsp. angustifolia, Arnica angustifolia subsp. tomentosa (J.M. Macoun) G.W. Douglas &  Ruyle-Douglas, Arnica angustifolia Vahl, Arnica lanceolata Nuttall, Arnica lanceolata Nuttall subsp. lanceolata, Arnica cordifolia Hooker, Arnica lonchophylla Greene, Arnica latifolia Bongard, Arnica ovata Greene, Arnica lanceolata subsp. prima (Maguire) Strother & S.J. Wolf, Arnica fulgens Pursh, Arnica chamissonis Lessing, Arnica griscomii Fernald, Arnica griscomii Fernald subsp. griscomii, Arnica nevadensis A. Gray, Arnica lessingii (Torrey & A. Gray) Greene, Arnica parryi A. Gray, Arnica rydbergii Greene, Arnica griscomii subsp. frigida (C.A. Meyer ex Iljin) S.J. Wolf, Arnica mollis Hooker, Arnica louiseana Farr, Arnica gracilis Rydberg, Arnica longifolia D.C. Eaton, Arnica sororia Greene, Senecio pseudoarnica Lessing"
"Arnica Angustifolia Subsp. Tomentosa", "yes", "26", "Arnica Linnaeus, Arnica angustifolia Vahl subsp. angustifolia, Arnica angustifolia subsp. tomentosa (J.M. Macoun) G.W. Douglas &  Ruyle-Douglas, Arnica angustifolia Vahl, Arnica lanceolata Nuttall, Arnica lanceolata Nuttall subsp. lanceolata, Arnica cordifolia Hooker, Arnica lonchophylla Greene, Arnica latifolia Bongard, Arnica ovata Greene, Arnica lanceolata subsp. prima (Maguire) Strother & S.J. Wolf, Arnica fulgens Pursh, Arnica chamissonis Lessing, Arnica griscomii Fernald, Arnica griscomii Fernald subsp. griscomii, Arnica nevadensis A. Gray, Arnica lessingii (Torrey & A. Gray) Greene, Arnica parryi A. Gray, Arnica rydbergii Greene, Arnica griscomii subsp. frigida (C.A. Meyer ex Iljin) S.J. Wolf, Arnica mollis Hooker, Arnica louiseana Farr, Arnica gracilis Rydberg, Arnica longifolia D.C. Eaton, Arnica sororia Greene, Senecio pseudoarnica Lessing"
